Probe,Gene Name,Model Count,Minimum Value,Maximum Value
ENSG00000007392,LUC7L,,,
ENSG00000007541,PIGQ,,,
ENSG00000007908,SELE,,,
ENSG00000007923,DNAJC11,,,
ENSG00000007933,FMO3,,,
ENSG00000007968,E2F2,,,
ENSG00000008323,PLEKHG6,,,
ENSG00000008394,MGST1,,,
ENSG00000008441,NFIX,,,
ENSG00000008517,IL32,,,
ENSG00000008710,PKD1,,,
ENSG00000009790,TRAF3IP3,,,
ENSG00000010219,DYRK4,,,
ENSG00000010278,CD9,,,
ENSG00000010292,NCAPD2,,,
ENSG00000010295,IFFO1,,,
ENSG00000010610,CD4,,,
ENSG00000010803,SCMH1,,,
ENSG00000010932,FMO1,,,
ENSG00000011009,LYPLA2,,,
ENSG00000011021,CLCN6,,,
ENSG00000011028,MRC2,,,
ENSG00000011132,APBA3,,,
ENSG00000011258,MBTD1,,,
ENSG00000011260,UTP18,,,
ENSG00000011304,PTBP1,,,
ENSG00000011422,PLAUR,,,
ENSG00000011451,WIZ,,,
ENSG00000011465,DCN,,,
ENSG00000011478,QPCTL,,,
ENSG00000011600,TYROBP,,,
ENSG00000011638,LDAF1,,,
ENSG00000012048,BRCA1,,,
ENSG00000012124,CD22,,,
ENSG00000012779,ALOX5,,,
ENSG00000012822,CALCOCO1,,,
ENSG00000012983,MAP4K5,,,
ENSG00000013306,SLC25A39,,,
ENSG00000013364,MVP,,,
ENSG00000013503,POLR3B,,,
ENSG00000013523,ANGEL1,,,
ENSG00000013573,DDX11,,,
ENSG00000013583,HEBP1,,,
ENSG00000013588,GPRC5A,,,
ENSG00000013725,CD6,,,
ENSG00000014216,CAPN1,,,
ENSG00000015133,CCDC88C,,,
ENSG00000016602,CLCA4,,,
ENSG00000017427,IGF1,,,
ENSG00000018236,CNTN1,,,
ENSG00000018625,ATP1A2,,,
ENSG00000019144,PHLDB1,,,
ENSG00000020129,NCDN,,,
ENSG00000020426,MNAT1,,,
ENSG00000020577,SAMD4A,,,
ENSG00000020922,MRE11,,,
ENSG00000021300,PLEKHB1,,,
ENSG00000021645,NRXN3,,,
ENSG00000023171,GRAMD1B,,,
ENSG00000023445,BIRC3,,,
ENSG00000023572,GLRX2,,,
ENSG00000023697,DERA,,,
ENSG00000023839,ABCC2,,,
ENSG00000023902,PLEKHO1,,,
ENSG00000024422,EHD2,,,
ENSG00000024526,DEPDC1,,,
ENSG00000025434,NR1H3,,,
ENSG00000026025,VIM,,,
ENSG00000026103,FAS,,,
ENSG00000026508,CD44,,,
ENSG00000026751,SLAMF7,,,
ENSG00000027075,PRKCH,,,
ENSG00000028277,POU2F2,,,
ENSG00000029153,ARNTL2,,,
ENSG00000030582,GRN,,,
ENSG00000031698,SARS1,,,
ENSG00000031823,RANBP3,,,
ENSG00000032219,ARID4A,,,
ENSG00000032444,PNPLA6,,,
ENSG00000032742,IFT88,,,
ENSG00000033122,LRRC7,,,
ENSG00000033170,FUT8,,,
ENSG00000033327,GAB2,,,
ENSG00000033800,PIAS1,,,
ENSG00000034053,APBA2,,,
ENSG00000034152,MAP2K3,,,
ENSG00000034971,MYOC,,,
ENSG00000035403,VCL,,,
ENSG00000035664,DAPK2,,,
ENSG00000035862,TIMP2,,,
ENSG00000036549,ZZZ3,,,
ENSG00000036672,USP2,,,
ENSG00000037042,TUBG2,,,
ENSG00000037757,MRI1,,,
ENSG00000038358,EDC4,,,
ENSG00000038532,CLEC16A,,,
ENSG00000039068,CDH1,,,
ENSG00000039523,RIPOR1,,,
ENSG00000040487,SLC66A1,,,
ENSG00000040531,CTNS,,,
ENSG00000040633,PHF23,,,
ENSG00000041353,RAB27B,,,
ENSG00000041357,PSMA4,,,
ENSG00000041515,MYO16,,,
ENSG00000042286,AIFM2,,,
ENSG00000042317,SPATA7,,,
ENSG00000042753,AP2S1,,,
ENSG00000043039,BARX2,,,
ENSG00000046604,DSG2,,,
ENSG00000047346,FAM214A,,,
ENSG00000047410,TPR,,,
ENSG00000047578,KATNIP,,,
ENSG00000047617,ANO2,,,
ENSG00000048462,TNFRSF17,,,
ENSG00000048540,LMO3,,,
ENSG00000048649,RSF1,,,
ENSG00000048707,VPS13D,,,
ENSG00000048740,CELF2,,,
ENSG00000049089,COL9A2,,,
ENSG00000049130,KITLG,,,
ENSG00000049239,H6PD,,,
ENSG00000049246,PER3,,,
ENSG00000049249,TNFRSF9,,,
ENSG00000049283,EPN3,,,
ENSG00000049449,RCN1,,,
ENSG00000049759,NEDD4L,,,
ENSG00000050165,DKK3,,,
ENSG00000050405,LIMA1,,,
ENSG00000050426,LETMD1,,,
ENSG00000050628,PTGER3,,,
ENSG00000050820,BCAR1,,,
ENSG00000051108,HERPUD1,,,
ENSG00000051128,HOMER3,,,
ENSG00000051523,CYBA,,,
ENSG00000052126,PLEKHA5,,,
ENSG00000052344,PRSS8,,,
ENSG00000052749,RRP12,,,
ENSG00000052850,ALX4,,,
ENSG00000053254,FOXN3,,,
ENSG00000053371,AKR7A2,,,
ENSG00000053372,MRTO4,,,
ENSG00000053501,USE1,,,
ENSG00000053747,LAMA3,,,
ENSG00000054277,OPN3,,,
ENSG00000054392,HHAT,,,
ENSG00000054654,SYNE2,,,
ENSG00000054690,PLEKHH1,,,
ENSG00000054967,RELT,,,
ENSG00000054983,GALC,,,
ENSG00000055070,SZRD1,,,
ENSG00000055483,USP36,,,
ENSG00000055732,MCOLN3,,,
ENSG00000055950,MRPL43,,,
ENSG00000057149,SERPINB3,,,
ENSG00000057252,SOAT1,,,
ENSG00000057294,PKP2,,,
ENSG00000057608,GDI2,,,
ENSG00000057704,TMCC3,,,
ENSG00000058085,LAMC2,,,
ENSG00000058453,CROCC,,,
ENSG00000058668,ATP2B4,,,
ENSG00000059122,FLYWCH1,,,
ENSG00000059145,UNKL,,,
ENSG00000059588,TARBP1,,,
ENSG00000059804,SLC2A3,,,
ENSG00000060069,CTDP1,,,
ENSG00000060138,YBX3,,,
ENSG00000060558,GNA15,,,
ENSG00000060656,PTPRU,,,
ENSG00000060718,COL11A1,,,
ENSG00000060982,BCAT1,,,
ENSG00000061273,HDAC7,,,
ENSG00000061794,MRPS35,,,
ENSG00000061936,SFSWAP,,,
ENSG00000061987,MON2,,,
ENSG00000062038,CDH3,,,
ENSG00000062282,DGAT2,,,
ENSG00000062370,ZNF112,,,
ENSG00000062485,CS,,,
ENSG00000062524,LTK,,,
ENSG00000062716,VMP1,,,
ENSG00000063046,EIF4B,,,
ENSG00000063761,ADCK1,,,
ENSG00000063854,HAGH,,,
ENSG00000064115,TM7SF3,,,
ENSG00000064270,ATP2C2,,,
ENSG00000064300,NGFR,,,
ENSG00000064309,CDON,,,
ENSG00000064547,LPAR2,,,
ENSG00000064666,CNN2,,,
ENSG00000064687,ABCA7,,,
ENSG00000064726,BTBD1,,,
ENSG00000064763,FAR2,,,
ENSG00000064886,CHI3L2,,,
ENSG00000064932,SBNO2,,,
ENSG00000064961,HMG20B,,,
ENSG00000065000,AP3D1,,,
ENSG00000065054,SLC9A3R2,,,
ENSG00000065057,NTHL1,,,
ENSG00000065154,OAT,,,
ENSG00000065183,WDR3,,,
ENSG00000065243,PKN2,,,
ENSG00000065268,WDR18,,,
ENSG00000065320,NTN1,,,
ENSG00000065328,MCM10,,,
ENSG00000065357,DGKA,,,
ENSG00000065361,ERBB3,,,
ENSG00000065427,KARS1,,,
ENSG00000065457,ADAT1,,,
ENSG00000065526,SPEN,,,
ENSG00000065600,PACC1,,,
ENSG00000065613,SLK,,,
ENSG00000065618,COL17A1,,,
ENSG00000065621,GSTO2,,,
ENSG00000065665,SEC61A2,,,
ENSG00000065675,PRKCQ,,,
ENSG00000065717,TLE2,,,
ENSG00000065809,FAM107B,,,
ENSG00000065978,YBX1,,,
ENSG00000065989,PDE4A,,,
ENSG00000066044,ELAVL1,,,
ENSG00000066056,TIE1,,,
ENSG00000066117,SMARCD1,,,
ENSG00000066279,ASPM,,,
ENSG00000066294,CD84,,,
ENSG00000066322,ELOVL1,,,
ENSG00000066336,SPI1,,,
ENSG00000066382,MPPED2,,,
ENSG00000066427,ATXN3,,,
ENSG00000066468,FGFR2,,,
ENSG00000066629,EML1,,,
ENSG00000066735,KIF26A,,,
ENSG00000066739,ATG2B,,,
ENSG00000067057,PFKP,,,
ENSG00000067064,IDI1,,,
ENSG00000067082,KLF6,,,
ENSG00000067141,NEO1,,,
ENSG00000067182,TNFRSF1A,,,
ENSG00000067191,CACNB1,,,
ENSG00000067225,PKM,,,
ENSG00000067606,PRKCZ,,,
ENSG00000067798,NAV3,,,
ENSG00000067836,ROGDI,,,
ENSG00000067955,CBFB,,,
ENSG00000068079,IFI35,,,
ENSG00000068137,PLEKHH3,,,
ENSG00000068305,MEF2A,,,
ENSG00000068489,PRR11,,,
ENSG00000068650,ATP11A,,,
ENSG00000068831,RASGRP2,,,
ENSG00000069188,SDK2,,,
ENSG00000069431,ABCC9,,,
ENSG00000069482,GAL,,,
ENSG00000069493,CLEC2D,,,
ENSG00000069667,RORA,,,
ENSG00000069702,TGFBR3,,,
ENSG00000069812,HES2,,,
ENSG00000069869,NEDD4,,,
ENSG00000069974,RAB27A,,,
ENSG00000070047,PHRF1,,,
ENSG00000070081,NUCB2,,,
ENSG00000070182,SPTB,,,
ENSG00000070366,SMG6,,,
ENSG00000070404,FSTL3,,,
ENSG00000070423,RNF126,,,
ENSG00000070444,MNT,,,
ENSG00000070495,JMJD6,,,
ENSG00000070540,WIPI1,,,
ENSG00000070731,ST6GALNAC2,,,
ENSG00000070759,TESK2,,,
ENSG00000070761,CFAP20,,,
ENSG00000070778,PTPN21,,,
ENSG00000070961,ATP2B1,,,
ENSG00000071246,VASH1,,,
ENSG00000071564,TCF3,,,
ENSG00000071626,DAZAP1,,,
ENSG00000071655,MBD3,,,
ENSG00000071991,CDH19,,,
ENSG00000072041,SLC6A15,,,
ENSG00000072042,RDH11,,,
ENSG00000072062,PRKACA,,,
ENSG00000072071,ADGRL1,,,
ENSG00000072110,ACTN1,,,
ENSG00000072134,EPN2,,,
ENSG00000072210,ALDH3A2,,,
ENSG00000072310,SREBF1,,,
ENSG00000072401,UBE2D1,,,
ENSG00000072422,RHOBTB1,,,
ENSG00000072518,MARK2,,,
ENSG00000072657,TRHDE,,,
ENSG00000072694,FCGR2B,,,
ENSG00000072736,NFATC3,,,
ENSG00000072778,ACADVL,,,
ENSG00000072818,ACAP1,,,
ENSG00000072952,IRAG1,,,
ENSG00000072958,AP1M1,,,
ENSG00000073008,PVR,,,
ENSG00000073050,XRCC1,,,
ENSG00000073060,SCARB1,,,
ENSG00000073350,LLGL2,,,
ENSG00000073417,PDE8A,,,
ENSG00000073536,NLE1,,,
ENSG00000073756,PTGS2,,,
ENSG00000073910,FRY,,,
ENSG00000074071,MRPS34,,,
ENSG00000074181,NOTCH3,,,
ENSG00000074201,CLNS1A,,,
ENSG00000074266,EED,,,
ENSG00000074370,ATP2A3,,,
ENSG00000074410,CA12,,,
ENSG00000074527,NTN4,,,
ENSG00000074590,NUAK1,,,
ENSG00000074621,SLC24A1,,,
ENSG00000074657,ZNF532,,,
ENSG00000074660,SCARF1,,,
ENSG00000074696,HACD3,,,
ENSG00000074800,ENO1,,,
ENSG00000074842,MYDGF,,,
ENSG00000074855,ANO8,,,
ENSG00000075089,ACTR6,,,
ENSG00000075188,NUP37,,,
ENSG00000075239,ACAT1,,,
ENSG00000075336,TIMM21,,,
ENSG00000075391,RASAL2,,,
ENSG00000075399,VPS9D1,,,
ENSG00000075407,ZNF37A,,,
ENSG00000075415,SLC25A3,,,
ENSG00000075643,MOCOS,,,
ENSG00000075673,ATP12A,,,
ENSG00000075702,WDR62,,,
ENSG00000075826,SEC31B,,,
ENSG00000076043,REXO2,,,
ENSG00000076067,RBMS2,,,
ENSG00000076108,BAZ2A,,,
ENSG00000076258,FMO4,,,
ENSG00000076351,SLC46A1,,,
ENSG00000076356,PLXNA2,,,
ENSG00000076382,SPAG5,,,
ENSG00000076555,ACACB,,,
ENSG00000076604,TRAF4,,,
ENSG00000076662,ICAM3,,,
ENSG00000076706,MCAM,,,
ENSG00000076826,CAMSAP3,,,
ENSG00000076864,RAP1GAP,,,
ENSG00000076928,ARHGEF1,,,
ENSG00000076984,MAP2K7,,,
ENSG00000077150,NFKB2,,,
ENSG00000077152,UBE2T,,,
ENSG00000077157,PPP1R12B,,,
ENSG00000077238,IL4R,,,
ENSG00000077348,EXOSC5,,,
ENSG00000077420,APBB1IP,,,
ENSG00000077458,FAM76B,,,
ENSG00000077498,TYR,,,
ENSG00000077585,GPR137B,,,
ENSG00000077616,NAALAD2,,,
ENSG00000077943,ITGA8,,,
ENSG00000078114,NEBL,,,
ENSG00000078124,ACER3,,,
ENSG00000078142,PIK3C3,,,
ENSG00000078237,TIGAR,,,
ENSG00000078246,TULP3,,,
ENSG00000078403,MLLT10,,,
ENSG00000078687,TNRC6C,,,
ENSG00000078808,SDF4,,,
ENSG00000078900,TP73,,,
ENSG00000079134,THOC1,,,
ENSG00000079313,REXO1,,,
ENSG00000079335,CDC14A,,,
ENSG00000079337,RAPGEF3,,,
ENSG00000079385,CEACAM1,,,
ENSG00000079432,CIC,,,
ENSG00000079435,LIPE,,,
ENSG00000079462,PAFAH1B3,,,
ENSG00000079739,PGM1,,,
ENSG00000080166,DCT,,,
ENSG00000080573,COL5A3,,,
ENSG00000080603,SRCAP,,,
ENSG00000080823,MOK,,,
ENSG00000080824,HSP90AA1,,,
ENSG00000080854,IGSF9B,,,
ENSG00000080986,NDC80,,,
ENSG00000081181,ARG2,,,
ENSG00000081237,PTPRC,,,
ENSG00000081277,PKP1,,,
ENSG00000081665,ZNF506,,,
ENSG00000081721,DUSP12,,,
ENSG00000081760,AACS,,,
ENSG00000081870,HSPB11,,,
ENSG00000081913,PHLPP1,,,
ENSG00000081923,ATP8B1,,,
ENSG00000082175,PGR,,,
ENSG00000082212,ME2,,,
ENSG00000082397,EPB41L3,,,
ENSG00000082482,KCNK2,,,
ENSG00000082497,SERTAD4,,,
ENSG00000082512,TRAF5,,,
ENSG00000082805,ERC1,,,
ENSG00000083444,PLOD1,,,
ENSG00000083457,ITGAE,,,
ENSG00000083535,PIBF1,,,
ENSG00000083544,TDRD3,,,
ENSG00000083799,CYLD,,,
ENSG00000084070,SMAP2,,,
ENSG00000084110,HAL,,,
ENSG00000084112,SSH1,,,
ENSG00000084207,GSTP1,,,
ENSG00000084234,APLP2,,,
ENSG00000084444,FAM234B,,,
ENSG00000084463,WBP11,,,
ENSG00000084623,EIF3I,,,
ENSG00000084636,COL16A1,,,
ENSG00000085063,CD59,,,
ENSG00000085117,CD82,,,
ENSG00000085491,SLC25A24,,,
ENSG00000085552,IGSF9,,,
ENSG00000085644,ZNF213,,,
ENSG00000085733,CTTN,,,
ENSG00000085831,TTC39A,,,
ENSG00000085840,ORC1,,,
ENSG00000085872,CHERP,,,
ENSG00000085998,POMGNT1,,,
ENSG00000086015,MAST2,,,
ENSG00000086205,FOLH1,,,
ENSG00000086504,MRPL28,,,
ENSG00000086548,CEACAM6,,,
ENSG00000086619,ERO1B,,,
ENSG00000086696,HSD17B2,,,
ENSG00000086848,ALG9,,,
ENSG00000086991,NOX4,,,
ENSG00000087053,MTMR2,,,
ENSG00000087095,NLK,,,
ENSG00000087152,ATXN7L3,,,
ENSG00000087191,PSMC5,,,
ENSG00000087245,MMP2,,,
ENSG00000087253,LPCAT2,,,
ENSG00000087258,GNAO1,,,
ENSG00000087301,TXNDC16,,,
ENSG00000087302,RTRAF,,,
ENSG00000087303,NID2,,,
ENSG00000087365,SF3B2,,,
ENSG00000087494,PTHLH,,,
ENSG00000087502,ERGIC2,,,
ENSG00000087884,AAMDC,,,
ENSG00000087903,RFX2,,,
ENSG00000088002,SULT2B1,,,
ENSG00000088035,ALG6,,,
ENSG00000088247,KHSRP,,,
ENSG00000088256,GNA11,,,
ENSG00000088280,ASAP3,,,
ENSG00000088386,SLC15A1,,,
ENSG00000088387,DOCK9,,,
ENSG00000088448,ANKRD10,,,
ENSG00000088451,TGDS,,,
ENSG00000088756,ARHGAP28,,,
ENSG00000088808,PPP1R13B,,,
ENSG00000088986,DYNLL1,,,
ENSG00000089009,RPL6,,,
ENSG00000089041,P2RX7,,,
ENSG00000089060,SLC8B1,,,
ENSG00000089127,OAS1,,,
ENSG00000089157,RPLP0,,,
ENSG00000089159,PXN,,,
ENSG00000089220,PEBP1,,,
ENSG00000089248,ERP29,,,
ENSG00000089250,NOS1,,,
ENSG00000089280,FUS,,,
ENSG00000089327,FXYD5,,,
ENSG00000089335,ZNF302,,,
ENSG00000089351,GRAMD1A,,,
ENSG00000089356,FXYD3,,,
ENSG00000089597,GANAB,,,
ENSG00000089639,GMIP,,,
ENSG00000089685,BIRC5,,,
ENSG00000089723,OTUB2,,,
ENSG00000090006,LTBP4,,,
ENSG00000090013,BLVRB,,,
ENSG00000090020,SLC9A1,,,
ENSG00000090273,NUDC,,,
ENSG00000090339,ICAM1,,,
ENSG00000090372,STRN4,,,
ENSG00000090376,IRAK3,,,
ENSG00000090382,LYZ,,,
ENSG00000090447,TFAP4,,,
ENSG00000090565,RAB11FIP3,,,
ENSG00000090581,GNPTG,,,
ENSG00000090612,ZNF268,,,
ENSG00000090615,GOLGA3,,,
ENSG00000090659,CD209,,,
ENSG00000090661,CERS4,,,
ENSG00000090674,MCOLN1,,,
